English,Portuguese
the,o
of,de
to,para
and,e
a,um
in,em
is,é
it,isto
you,você
that,que
he,ele
was,era
for,para
on,sobre
are,são
with,com
as,como
I,EU
his,dele
they,eles
be,ser
at,no
one,um
have,ter
this,esse
from,de
or,ou
had,tive
by,por
not,não
word,palavra
but,mas
what,o que
some,alguns
we,nós
can,pode
out,fora
other,outro
were,eram
all,todos
there,lá
when,quando
up,acima
use,usar
your,seu
how,como
said,disse
an,um
each,cada
she,ela
which,qual
do,fazer
their,deles
time,tempo
if,se
will,vai
way,caminho
about,sobre
many,muitos
then,então
them,eles
write,escrever
would,seria
like,como
so,então
these,esses
her,dela
long,longo
make,fazer
thing,coisa
see,ver
him,ele
two,dois
has,tem
look,olhar
more,mais
day,dia
could,poderia
go,ir
come,vir
did,fez
number,número
sound,som
no,não
most,maioria
people,pessoas
my,meu
over,sobre
know,saber
water,água
than,que
call,chamar
first,primeiro
who,Quem
may,poderia
down,abaixo
side,lado
been,estive
now,agora
find,encontrar
any,qualquer
new,novo
work,trabalhar
part,papel
take,pegar
get,pegar
place,lugar
made,feito
live,ao vivo
where,onde
after,depois
back,voltar
little,pequeno
only,apenas
round,redondo
man,homem
year,ano
came,veio
show,mostrar
every,todo
good,bom
me,meu
give,dar
our,nosso
under,sob
name,nome
very,muito
through,através
just,apenas
form,forma
sentence,frase
great,ótimo
think,pensar
say,dizer
help,ajuda
low,baixo
line,linha
differ,diferir
turn,vez
cause,causa
much,muito
mean,significar
before,antes
move,mover
right,certo
boy,garoto
old,velho
too,também
same,mesmo
tell,dizer
does,faz
set,definir
three,três
want,querer
air,ar
well,bem
also,também
play,jogar
small,pequeno
end,fim
put,colocar
home,lar
read,ler
hand,mão
port,porta
large,grande
spell,soletrar
add,adicionar
even,até
land,terra
here,aqui
must,deve
big,grande
high,alto
such,tal
follow,seguir
act,agir
why,por que
ask,perguntar
men,homens
change,mudar
went,foi
light,luz
kind,tipo
off,desligado
need,precisar
house,casa
picture,foto
try,tentar
us,nós
again,de novo
animal,animal
point,apontar
mother,mãe
world,mundo
near,aproximar
build,construir
self,auto
earth,terra
father,pai
head,cabeça
stand,ficar
own,ter
page,página
should,deve
country,país
found,encontrado
answer,responder
school,escola
grow,crescer
study,estudar
still,ainda
learn,aprender
plant,plantar
cover,cobrir
food,comida
sun,sol
four,quatro
between,entre
state,estado
keep,manter
eye,olho
never,nunca
last,durar
let,deixar
thought,pensamento
city,cidade
tree,árvore
cross,cruzar
farm,fazenda
hard,duro
start,começar
might,poder
story,história
saw,serra
far,distante
sea,mar
draw,empate
left,esquerda
late,tarde
run,correr
don't,não
while,enquanto
press,imprensa
close,fechar
night,noite
real,real
life,vida
few,alguns
north,norte
open,abrir
seem,parecer
together,junto
next,próximo
white,branco
children,crianças
begin,começar
got,pegou
walk,andar
example,exemplo
ease,facilidade
paper,papel
group,grupo
always,sempre
music,música
those,aqueles
both,ambos
mark,marca
often,muitas vezes
letter,carta
until,até
mile,milha
river,rio
car,carro
feet,pés
care,cuidado
second,segundo
book,livro
carry,carregar
took,pegou
science,ciência
eat,comer
room,sala
friend,amigo
began,começou
idea,ideia
fish,peixe
mountain,montanha
stop,parar
once,uma vez
base,base
hear,ouvir
horse,cavalo
cut,corte
sure,claro
watch,assistir
color,cor
face,face
wood,madeira
main,principal
enough,suficiente
plain,simples
girl,garota
usual,habitual
young,jovem
ready,preparar
above,acima
ever,sempre
red,vermelho
list,lista
though,no entanto
feel,sentir
talk,falar
bird,pássaro
soon,breve
body,corpo
dog,cachorro
family,família
direct,direto
pose,pose
leave,deixar
